Unit (kt or %),Date 年,Sectors,Emissions or annual change,Gas (rename),Name
Kt CO2 eq,1990年,Other combustion,118576.558904516,All greenhouse gases,EU-27
Kt CO2 eq,1991年,Other combustion,114185.10421441,All greenhouse gases,EU-27
Kt CO2 eq,1992年,Other combustion,107540.491582164,All greenhouse gases,EU-27
Kt CO2 eq,1993年,Other combustion,108025.208891357,All greenhouse gases,EU-27
Kt CO2 eq,1994年,Other combustion,105851.950794822,All greenhouse gases,EU-27
Kt CO2 eq,1995年,Other combustion,104256.552208757,All greenhouse gases,EU-27
Kt CO2 eq,1996年,Other combustion,105702.532882451,All greenhouse gases,EU-27
Kt CO2 eq,1997年,Other combustion,103328.711649613,All greenhouse gases,EU-27
Kt CO2 eq,1998年,Other combustion,101166.497573984,All greenhouse gases,EU-27
Kt CO2 eq,1999年,Other combustion,99747.059300658,All greenhouse gases,EU-27
Kt CO2 eq,2000年,Other combustion,97142.808239774,All greenhouse gases,EU-27
Kt CO2 eq,2001年,Other combustion,96350.186295451,All greenhouse gases,EU-27
Kt CO2 eq,2002年,Other combustion,94534.381751512,All greenhouse gases,EU-27
Kt CO2 eq,2003年,Other combustion,95897.520197374,All greenhouse gases,EU-27
Kt CO2 eq,2004年,Other combustion,97475.035209949,All greenhouse gases,EU-27
Kt CO2 eq,2005年,Other combustion,98004.772797611,All greenhouse gases,EU-27
Kt CO2 eq,2006年,Other combustion,93926.806576871,All greenhouse gases,EU-27
Kt CO2 eq,2007年,Other combustion,90937.529824193,All greenhouse gases,EU-27
Kt CO2 eq,2008年,Other combustion,91228.294702904,All greenhouse gases,EU-27
Kt CO2 eq,2009年,Other combustion,88385.018115222,All greenhouse gases,EU-27
Kt CO2 eq,2010年,Other combustion,90040.514821095,All greenhouse gases,EU-27
Kt CO2 eq,2011年,Other combustion,88584.295977556,All greenhouse gases,EU-27
Kt CO2 eq,2012年,Other combustion,85246.101429902,All greenhouse gases,EU-27
Kt CO2 eq,2013年,Other combustion,85266.829852276,All greenhouse gases,EU-27
Kt CO2 eq,2014年,Other combustion,83859.751753099,All greenhouse gases,EU-27
Kt CO2 eq,2015年,Other combustion,83310.952606209,All greenhouse gases,EU-27
Kt CO2 eq,2016年,Other combustion,82947.115285987,All greenhouse gases,EU-27
